Wall time,Step,Value
1697721396.900429,10240,416.66717529296875
1697721398.816917,14336,651.326416015625
1697721399.911061,16384,1801.8431396484375
1697721404.0844579,24576,3218.404296875
1697721405.145678,26624,12617.712890625
1697721407.222715,30720,1431.2474365234375
1697721408.241136,32768,710.9660034179688
1697721409.284113,34816,206.01483154296875
1697721410.403729,36864,389.55584716796875
1697721411.418904,38912,364.649169921875
1697721412.510016,40960,1502.0089111328125
1697721413.556758,43008,1794.0357666015625
1697721414.5926988,45056,3939.021728515625
1697721418.776004,53248,171.9788055419922
1697721419.8174021,55296,505.4047546386719
1697721428.42125,71680,4586.67138671875
1697721429.493451,73728,2731.758056640625
1697721431.632451,77824,111.49706268310547
1697721434.7811892,83968,5000.923828125
1697721435.8697758,86016,376.82598876953125
1697721438.062998,90112,2598.052734375
1697721439.149863,92160,371.7323913574219
1697721440.216846,94208,162.51364135742188
1697721441.2382872,96256,491.30377197265625
1697721443.389067,100352,309.576171875
1697721445.504673,104448,458.13665771484375
1697721446.635556,106496,5113.82080078125
1697721449.807211,112640,224.1414337158203
1697721450.905206,114688,460.5472717285156
1697721451.927661,116736,180.5914764404297
1697721452.9970078,118784,182.768798828125
1697721454.0823429,120832,3339.155029296875
1697721457.2923892,126976,2732.009765625
1697721458.3689039,129024,118.57454681396484
1697721460.452586,133120,808.3515014648438
1697721462.488676,137216,4372.5322265625
1697721463.511737,139264,6503.21630859375
1697721464.556064,141312,1598.931640625
1697721465.588635,143360,953.2877807617188
1697721468.629461,149504,2632.89697265625
1697721469.715159,151552,1462.6448974609375
1697721470.782173,153600,123.95068359375
1697721471.818602,155648,111.95557403564453
1697721473.7478652,159744,2550.623046875
1697721475.767753,163840,609.10986328125
1697721476.805813,165888,896.4849853515625
1697721481.891244,176128,103.14942169189453
1697721482.948074,178176,8874.0078125
1697721484.0348601,180224,274.2108154296875
1697721485.027046,182272,64.96765899658203
1697721486.058037,184320,1544.420654296875
1697721487.136811,186368,4251.5849609375
1697721492.446323,196608,91.64129638671875
1697721502.152669,215040,84.93145751953125
1697721504.2946198,219136,2202.338134765625
1697721505.354059,221184,95.99268341064453
1697721506.3830369,223232,121.00093078613281
1697721513.799062,237568,127.0732192993164
1697721516.90241,243712,78.0025405883789
1697721519.000861,247808,311.0228271484375
1697721520.1217291,249856,803.160400390625
1697721521.14479,251904,101.202392578125
1697721525.410005,260096,68.22181701660156
1697721526.4425411,262144,117.31204986572266
1697721527.525312,264192,411.8761291503906
1697721530.755039,270336,765.8215942382812
1697721531.816936,272384,224.72816467285156
1697721535.044933,278528,186.9488067626953
1697721539.262885,286720,178.6775360107422
1697721541.352958,290816,156.68463134765625
1697721543.490627,294912,65.02540588378906
1697721544.559562,296960,80.56096649169922
1697721545.5987608,299008,109.9009017944336
1697721546.6457431,301056,2685.5419921875
1697721547.6065652,303104,90.6786117553711
1697721548.621929,305152,5530.32080078125
1697721550.73739,309248,109.97383117675781
1697721552.827412,313344,166.67453002929688
1697721556.018406,319488,129.61241149902344
1697721557.0770528,321536,95.31572723388672
1697721558.1889138,323584,226.86231994628906
1697721560.298677,327680,132.97219848632812
1697721561.3866339,329728,104.39444732666016
1697721562.450599,331776,85.92669677734375
1697721564.595665,335872,148.5969696044922
1697721565.60856,337920,113.6789779663086
1697721567.75406,342016,155.0691680908203
1697721568.7788951,344064,104.07527923583984
1697721570.868769,348160,2823.084228515625
1697721571.9447129,350208,859.91845703125
1697721575.048873,356352,134.65402221679688
1697721579.283555,364544,130.5891876220703
1697721580.273973,366592,151.43629455566406
1697721581.2680929,368640,104.08181762695312
1697721582.281158,370688,102.85785675048828
1697721584.318999,374784,90.00023651123047
1697721585.4077,376832,447.13763427734375
1697721587.4923022,380928,75.0816650390625
1697721589.5824919,385024,481.5953063964844
1697721590.6636748,387072,97.373291015625
1697721591.680178,389120,82.57096099853516
1697721592.699161,391168,148.8516387939453
1697721594.871531,395264,92.01539611816406
1697721595.8741848,397312,105.44243621826172
1697721604.0581179,413696,122.92054748535156
1697721608.175453,421888,474.441162109375
1697721612.381631,430080,260.5549621582031
1697721613.401609,432128,434.1259460449219
1697721614.451226,434176,74.53182220458984
1697721618.7374349,442368,177.337890625
1697721619.864833,444416,114.65641784667969
1697721620.920653,446464,101.42302703857422
1697721621.9751081,448512,359.3981018066406
1697721625.280252,454656,118.0372314453125
1697721626.3249521,456704,1456.8555908203125
1697721629.376388,462848,169.02305603027344
1697721630.420047,464896,168.62185668945312
1697721632.473475,468992,886.3466796875
1697721633.502159,471040,695.3724365234375
1697721634.548181,473088,2375.183349609375
1697721636.6566432,477184,151.04507446289062
1697721637.643148,479232,166.65936279296875
1697721638.697887,481280,162.15760803222656
1697721639.72792,483328,146.4476318359375
1697721640.781753,485376,120.96014404296875
1697721641.871705,487424,519.8819580078125
1697721644.9519172,493568,93.29039001464844
1697721646.0366879,495616,135.09933471679688
1697721648.057594,499712,475.5260009765625
1697721652.256076,507904,3720.4970703125
1697721653.315319,509952,125.86841583251953
1697721655.457336,514048,129.2910919189453
1697721657.5441952,518144,167.83700561523438
1697721658.570671,520192,85.5143814086914
1697721663.927707,530432,88.66070556640625
1697721667.07932,536576,185.85581970214844
1697721668.121567,538624,37.49658966064453
1697721669.2015328,540672,442.6329650878906
1697721670.2443562,542720,226.4976348876953
1697721672.347745,546816,111.3976821899414
1697721676.5573912,555008,143.5169219970703
1697721678.648799,559104,99.37547302246094
1697721680.7934349,563200,159.52020263671875
