Wall time,Step,Value
1697721395.920191,8192,240.7058868408203
1697721397.85691,12288,228.3018798828125
1697721398.816736,14336,228.5806427001953
1697721403.051177,22528,247.010986328125
1697721404.084276,24576,247.58163452148438
1697721406.197174,28672,245.39999389648438
1697721407.222525,30720,241.0399932861328
1697721408.24095,32768,248.9499969482422
1697721409.283932,34816,249.42999267578125
1697721410.403546,36864,256.3999938964844
1697721411.4187362,38912,254.08999633789062
1697721412.509834,40960,249.41000366210938
1697721413.5566,43008,250.1999969482422
1697721417.814058,51200,253.1999969482422
1697721418.7758348,53248,254.72000122070312
1697721427.402891,69632,277.239990234375
1697721428.421012,71680,288.57000732421875
1697721430.567517,75776,287.7799987792969
1697721433.696455,81920,262.5899963378906
1697721434.781006,83968,257.739990234375
1697721436.982046,88064,247.99000549316406
1697721438.062819,90112,243.57000732421875
1697721439.1496692,92160,242.42999267578125
1697721440.216678,94208,248.08999633789062
1697721442.274871,98304,241.55999755859375
1697721444.492824,102400,238.75999450683594
1697721445.504489,104448,240.39999389648438
1697721448.725586,110592,246.5500030517578
1697721449.807039,112640,249.36000061035156
1697721450.905026,114688,248.61000061035156
1697721451.927477,116736,244.6199951171875
1697721452.996829,118784,243.89999389648438
1697721456.21532,124928,245.72000122070312
1697721457.292209,126976,250.4199981689453
1697721459.36071,131072,249.89999389648438
1697721461.407979,135168,252.6199951171875
1697721462.4884999,137216,255.97999572753906
1697721463.5115578,139264,256.6400146484375
1697721464.555886,141312,260.67999267578125
1697721467.627309,147456,254.77000427246094
1697721468.629281,149504,257.510009765625
1697721469.714981,151552,261.70001220703125
1697721470.782002,153600,266.2200012207031
1697721472.792772,157696,259.2300109863281
1697721474.750255,161792,255.35000610351562
1697721475.767574,163840,257.9200134277344
1697721480.8901372,174080,270.4700012207031
1697721481.891063,176128,272.05999755859375
1697721482.947904,178176,273.4700012207031
1697721484.034693,180224,264.82000732421875
1697721485.026877,182272,267.82000732421875
1697721486.057873,184320,261.9800109863281
1697721491.437653,194560,264.3399963378906
1697721500.004725,210944,262.80999755859375
1697721502.152509,215040,258.3599853515625
1697721503.229939,217088,253.02999877929688
1697721504.294453,219136,258.07000732421875
1697721511.6741729,233472,241.9199981689453
1697721514.81683,239616,245.8800048828125
1697721516.902237,243712,250.8699951171875
1697721517.958213,245760,251.69000244140625
1697721519.0006962,247808,252.75
1697721523.322121,256000,265.7099914550781
1697721524.3415759,258048,269.69000244140625
1697721525.409838,260096,270.8800048828125
1697721528.6054888,266240,257.1000061035156
1697721529.667201,268288,263.4700012207031
1697721532.940474,274432,250.5500030517578
1697721537.141068,282624,236.16000366210938
1697721539.26271,286720,236.91000366210938
1697721541.352799,290816,238.52000427246094
1697721542.4524229,292864,233.8800048828125
1697721543.490459,294912,240.08999633789062
1697721544.5593889,296960,235.8300018310547
1697721545.598598,299008,227.47000122070312
1697721546.64557,301056,226.41000366210938
1697721548.621753,305152,224.88999938964844
1697721550.7372181,309248,229.3300018310547
1697721553.9128902,315392,226.05999755859375
1697721554.963129,317440,231.38999938964844
1697721556.018229,319488,233.2100067138672
1697721558.188745,323584,244.0800018310547
1697721559.246481,325632,244.47000122070312
1697721560.2985091,327680,252.8800048828125
1697721562.450444,331776,264.5199890136719
1697721563.515475,333824,266.8999938964844
1697721565.608392,337920,276.2300109863281
1697721566.685251,339968,269.3500061035156
1697721568.7787251,344064,275.94000244140625
1697721569.8447309,346112,274.9800109863281
1697721572.958006,352256,254.55999755859375
1697721577.1578932,360448,243.6999969482422
1697721578.224728,362496,237.3800048828125
1697721579.283382,364544,231.55999755859375
1697721580.273799,366592,234.44000244140625
1697721582.280749,370688,239.32000732421875
1697721583.3212008,372736,245.83999633789062
1697721585.4075189,376832,249.6999969482422
1697721587.492139,380928,246.57000732421875
1697721588.54317,382976,245.4600067138672
1697721589.5823202,385024,244.0
1697721590.663509,387072,243.64999389648438
1697721592.698986,391168,249.41000366210938
1697721593.715573,393216,243.74000549316406
1697721600.9651892,407552,250.72000122070312
1697721605.061332,415744,246.3699951171875
1697721609.224112,423936,237.2899932861328
1697721610.28617,425984,235.91000366210938
1697721611.381845,428032,241.02000427246094
1697721615.5591621,436224,245.2899932861328
1697721616.60606,438272,244.77000427246094
1697721617.675987,440320,244.19000244140625
1697721618.737261,442368,250.5
1697721621.9749389,448512,260.0199890136719
1697721623.051434,450560,267.75
1697721626.324784,456704,270.6000061035156
1697721627.306774,458752,273.20001220703125
1697721629.376223,462848,283.7099914550781
1697721630.4198751,464896,280.25
1697721631.482396,466944,281.7699890136719
1697721633.502003,471040,282.0299987792969
1697721634.548013,473088,286.29998779296875
1697721635.580373,475136,284.510009765625
1697721636.656447,477184,286.1099853515625
1697721637.642991,479232,278.0899963378906
1697721638.6977,481280,270.30999755859375
1697721641.8712618,487424,270.8999938964844
1697721642.927501,489472,260.8699951171875
1697721644.951745,493568,250.22999572753906
1697721649.073183,501760,232.92999267578125
1697721650.165625,503808,235.60000610351562
1697721652.255906,507904,221.44000244140625
1697721654.435275,512000,220.38999938964844
1697721655.457092,514048,223.24000549316406
1697721660.725328,524288,217.72000122070312
1697721663.927527,530432,231.7100067138672
1697721664.951095,532480,243.8000030517578
1697721665.960168,534528,244.9499969482422
1697721667.079148,536576,256.8500061035156
1697721669.201358,540672,264.3599853515625
1697721673.405296,548864,270.0
1697721675.507637,552960,250.16000366210938
1697721677.568994,557056,242.4600067138672
1697721678.648629,559104,244.75
1697721679.677632,561152,238.58999633789062
1697721683.8880131,569344,243.0500030517578
1697721684.9198,571392,233.3000030517578
1697721686.993841,575488,240.8000030517578
1697721689.041707,579584,255.72000122070312
1697721691.0904078,583680,267.19000244140625
1697721696.276524,593920,248.58999633789062
1697721698.3913689,598016,245.11000061035156
1697721699.420701,600064,250.92999267578125
1697721702.5932438,606208,238.11000061035156
1697721704.679018,610304,234.14999389648438
